iter,emax,log_compression,n_live
510,-0.18192540765406237,-0.008333333333333333,120
511,-0.18214351217497476,-0.008333333333333333,120
512,-0.182164716627843,-0.008333333333333333,120
513,-0.18227063997018428,-0.008333333333333333,120
514,-0.18240101526289065,-0.008333333333333333,120
515,-0.1824190135814907,-0.008333333333333333,120
516,-0.18270360267587898,-0.008333333333333333,120
517,-0.18356799953329778,-0.008333333333333333,120
518,-0.18382569254842376,-0.008333333333333333,120
519,-0.1841314989886607,-0.008333333333333333,120
520,-0.18420717335913217,-0.008333333333333333,120
521,-0.18422396699185556,-0.008333333333333333,120
522,-0.1842664538224404,-0.008333333333333333,120
523,-0.18436288941721335,-0.008333333333333333,120
524,-0.184968060787289,-0.008333333333333333,120
525,-0.18531780944416296,-0.008333333333333333,120
526,-0.18595353209523977,-0.008333333333333333,120
527,-0.18680019189291666,-0.008333333333333333,120
528,-0.1869579772820814,-0.008333333333333333,120
529,-0.18761717775266312,-0.008333333333333333,120
530,-0.1883593233709275,-0.008333333333333333,120
531,-0.18918213514269183,-0.008333333333333333,120
532,-0.1892152613527241,-0.008333333333333333,120
533,-0.18941760857794307,-0.008333333333333333,120
534,-0.18981333460259653,-0.008333333333333333,120
535,-0.19017678042974429,-0.008333333333333333,120
536,-0.19034148623488248,-0.008333333333333333,120
537,-0.19035425623542038,-0.008333333333333333,120
538,-0.1903730011716938,-0.008333333333333333,120
539,-0.19049254521900325,-0.008333333333333333,120
540,-0.1908673628542576,-0.008333333333333333,120
541,-0.1908815732368034,-0.008333333333333333,120
542,-0.19131066322307633,-0.008333333333333333,120
543,-0.19136297915085965,-0.008333333333333333,120
544,-0.1915889572584129,-0.008333333333333333,120
545,-0.19161317687082252,-0.008333333333333333,120
546,-0.1921817185506655,-0.008333333333333333,120
547,-0.1923819667676116,-0.008333333333333333,120
548,-0.19275585526369463,-0.008333333333333333,120
549,-0.1931507349572127,-0.008333333333333333,120
550,-0.19327567227285947,-0.008333333333333333,120
551,-0.1942703409692756,-0.008333333333333333,120
552,-0.19444099446406277,-0.008333333333333333,120
553,-0.1954566446570285,-0.008333333333333333,120
554,-0.19548714637499237,-0.008333333333333333,120
555,-0.19552895558274078,-0.008333333333333333,120
556,-0.19559814173789805,-0.008333333333333333,120
557,-0.195675171438847,-0.008333333333333333,120
558,-0.19614261518883433,-0.008333333333333333,120
559,-0.19625185896893557,-0.008333333333333333,120
560,-0.1970272696626399,-0.008333333333333333,120
561,-0.19703945862227684,-0.008333333333333333,120
562,-0.1971779521792,-0.008333333333333333,120
563,-0.19762916340094444,-0.008333333333333333,120
